TRACK_ID,caption
track_0000948,"A dreamy synthpop track with ethereal vocals and shimmering synthesizers. Keywords: dreamy, synthpop, ethereal, shimmering."
track_0000950,"A soaring, arpeggiated synth line accompanied by repetitive drums on an electro track. Keywords: electronic, dance, synthwave, upbeat."
track_0000951,"A dynamic and pulsing electronic dance track plays, filling the space with energetic beats and synth layers. | dance, electronic, pulsing, upbeat"
track_0002165,"A psychedelic rock track with trippy guitar riffs and a hypnotic drum beat. || psychedelic, rock, trippy, hypnotic"
track_0003346,"A lively pop-rock track with catchy melodies and energetic drums. Keywords: upbeat, catchy, rock, pop."
track_0002263,"A gritty, heavy metal track with thunderous drums, distorted guitar riffs, and a raw, rebellious edge. || grunge, rock, metal, aggressive"
track_0003347,"A hauntingly beautiful ballad sung in French with a haunting voice and melancholic melody. Keywords: French, ballad, haunting, beauty."
track_0003348,"A hauntingly beautiful ballad with solemn drums and ethereal vocals. Keywords: melancholic, atmospheric, dreamy, introspective."
track_0003350,"A lively pop rock track with catchy drums and guitar riffs, featuring a female vocalist singing in English. Keywords: upbeat, energetic, melodic, fun."
track_0003349,"A hauntingly beautiful piece of music that evokes feelings of love and nostalgia. Keywords: love, nostalgia, beautiful, haunting."
track_0004629,"A haunting melody played on a plucky piano echoes through an empty room. || plucky, piano, haunting, echo"
track_0003524,"A haunting melody weaves through the darkness of the electronic instrumental. || dark, electronic, haunting, melody"
track_0004632,"The music captures a mysterious and alluring mood with its haunting piano melody and suspenseful strings. | mysterious, alluring, haunting, suspenseful"
track_0004631,"A dynamic and uplifting pop-rock track with catchy melodies, featuring drums, bass, electric guitar, piano, synthesizer, and strings. | Pop, Rock, Upbeat, Catchy"
track_0004638,"A soothing piano melody with light strings creates a calming atmosphere for relaxation. || piano, strings, calm, relaxing"
track_0004639,"A soothing flute melody plays over gentle piano chords, creating a calming and serene soundscape. Keywords: flute, piano, calm, serene."
track_0004882,"A soulful electric guitar melody weaves through vibrant harmonics, evoking feelings of tranquility and inspiration. Keywords: soulful, electric guitar, harmonics, tranquility."
track_0004640,"The groovy tune played by the organ and synth creates a cool, upbeat atmosphere perfect for dancing. || organ, synth, groovy, upbeat"
track_0004884,"A trippy, synth-driven techno track with a funny, absurd vibe plays in the background. Keywords: trippy, synth, tech, absurd."
track_0004883,"A floaty ethnic flute solo rides over shimmering synthesizers and soft kick beats. || ethnic, flute, synth, chill"
track_0005083,"A dreamy synth melody rises and falls, accompanied by gentle percussion. Keywords: dreamy, synthesizer, melody, percussion."
track_0004889,"A soothing instrumental piece with calming flute melodies and rhythmic drums. Keywords: meditation, relaxation, soft, peaceful"
track_0005084,"A melodic jazz piece with piano and saxophone, creating a relaxed atmosphere. Keywords: jazz, piano, saxophone, relaxing."
track_0005085,"A soulful electric guitar melody over a bluesy piano and groovy bassline with rhythmic acoustic drums. Keywords: soulful, electric guitar, bluesy, piano."
track_0005089,"A soothing jazz track featuring a solo guitar. | soft, relaxing, melodic, ambient"
track_0005086,"A soothing instrumental track with a blend of jazz and world music elements featuring piano, guitar, and drums. Keywords: calming, melodic, relaxing, cultural."
track_0005635,"A dreamy, synth-driven instrumental piece that creates an otherworldly atmosphere. Keywords: ethereal, ambient, synthesizer, meditative."
track_0005634,"A hypnotic, otherworldly techno track with swirling synthesizers and organic sounds evokes a sense of calm and wonder. Keywords: ambient, ethereal, meditative, relaxing."
track_0005636,"A soothing instrumental track with synthesized piano and guitar over an electronic background. Keywords: calming, melodic, relaxing, soft."
track_0005637,"A soothing ambient track with gentle synth and piano melodies. || ambient, soft, relaxing, peaceful"
track_0005640,"The ambient track features soothing synthesizers and slow percussion creating a tranquil, new-age atmosphere. Keywords: calming, serene, atmospheric, ambient."
track_0005638,"A fast-paced, upbeat electronic dance track with a repetitive melody and a techno beat. Keywords: dance, electronic, upbeat, repetitive."
track_0005642,"A haunting melody weaves through the darkness of night, evoking feelings of unease and foreboding. || dark, eerie, suspenseful, ominous"
track_0005641,"A funky electronic rock track with a driving beat and a synth solo. Keywords: funky, electronic, rock, synth."
track_0005643,"A slow-tempoed, instrumental hip-hop track featuring a synth-driven melody and a crisp drum beat. Keywords: chill, groovy, relaxing, urban."
track_0006247,"A majestic orchestra plays a grand tune, filling the air with rich harmonies and powerful beats. || orchestral, majestic, grand, powerful"
track_0006249,"A grand orchestral piece featuring lush strings, percussive timpani, and soaring horns creates an epic atmosphere, suitable for a movie soundtrack. Keywords: orchestral, grand, lush, strings, percussion, timpani, soaring, horns, epic, soundtrack."
track_0006248,"A poignant piano piece that invokes a sense of longing and hope. || emotional, melodic, resonant, heartfelt"
track_0006250,"A string ensemble plays a soothing melody over arpeggiated piano chords. || soothing, melodic, harmonious, classical"
